Jday,emerge_date,line,rep,leaf,area_cm2,therm_time,emerge_therm_time,germ_dates,germ_therm_time,therm_time_adj,emerge_therm_time_adj
322,297,CC,3,3,40.28,18867.4119883759,6369.36911159583,288,1782.212276865,17085.1997115109,4587.15683473083
305,301,CC,3,4,3.12,10339.4587977758,8340.08222182917,288,1782.212276865,8557.24652091082,6557.86994496417
307,301,CC,3,4,8.86,11352.5835348158,8340.08222182917,288,1782.212276865,9570.3712579508,6557.86994496417
310,301,CC,3,4,19.81,12828.4880273992,8340.08222182917,288,1782.212276865,11046.2757505342,6557.86994496417
312,301,CC,3,4,24.59,13822.6696153242,8340.08222182917,288,1782.212276865,12040.4573384592,6557.86994496417
315,301,CC,3,4,29.85,15334.8716263725,8340.08222182917,288,1782.212276865,13552.6593495075,6557.86994496417
317,301,CC,3,4,39.26,16361.6030911408,8340.08222182917,288,1782.212276865,14579.3908142758,6557.86994496417
319,301,CC,3,4,39.47,17372.6732596442,8340.08222182917,288,1782.212276865,15590.4609827792,6557.86994496417
322,301,CC,3,4,48.86,18867.4119883759,8340.08222182917,288,1782.212276865,17085.1997115109,6557.86994496417
310,303,CC,3,5,7.05,12828.4880273992,9343.01213111751,288,1782.212276865,11046.2757505342,7560.79985425251
312,303,CC,3,5,16.47,13822.6696153242,9343.01213111751,288,1782.212276865,12040.4573384592,7560.79985425251
315,303,CC,3,5,31.01,15334.8716263725,9343.01213111751,288,1782.212276865,13552.6593495075,7560.79985425251
317,303,CC,3,5,41.73,16361.6030911408,9343.01213111751,288,1782.212276865,14579.3908142758,7560.79985425251
319,303,CC,3,5,48.42,17372.6732596442,9343.01213111751,288,1782.212276865,15590.4609827792,7560.79985425251
322,303,CC,3,5,56.83,18867.4119883759,9343.01213111751,288,1782.212276865,17085.1997115109,7560.79985425251
312,306,CC,3,6,6.86,13822.6696153242,10841.8453505625,288,1782.212276865,12040.4573384592,9059.63307369747
315,306,CC,3,6,28.72,15334.8716263725,10841.8453505625,288,1782.212276865,13552.6593495075,9059.63307369747
317,306,CC,3,6,37.75,16361.6030911408,10841.8453505625,288,1782.212276865,14579.3908142758,9059.63307369747
319,306,CC,3,6,53.51,17372.6732596442,10841.8453505625,288,1782.212276865,15590.4609827792,9059.63307369747
322,306,CC,3,6,54.61,18867.4119883759,10841.8453505625,288,1782.212276865,17085.1997115109,9059.63307369747
315,310,CC,3,7,9.3,15334.8716263725,12828.4880273992,288,1782.212276865,13552.6593495075,11046.2757505342
317,310,CC,3,7,19.68,16361.6030911408,12828.4880273992,288,1782.212276865,14579.3908142758,11046.2757505342
319,310,CC,3,7,29.86,17372.6732596442,12828.4880273992,288,1782.212276865,15590.4609827792,11046.2757505342
